date,status,converged_steps,min_voltage_pu,max_voltage_pu,voltage_violations,F06_mae_mw,F06_correlation,F07_mae_mw,F07_correlation,F08_mae_mw,F08_correlation,F09_mae_mw,F09_correlation,F10_mae_mw,F10_correlation,F11_mae_mw,F11_correlation,F12_mae_mw,F12_correlation,system_mae_mw,system_correlation
2025-06-18,success,96,0.8117111988439619,1.049142615481833,7227,0.5085712229459767,0.9935656915972847,0.36788663264544236,0.9945421935969468,0.290106196142858,0.9975229635402934,0.8461919140975884,0.9631789024331826,1.1511628727860967,0.9814042615804547,6.9738585607304495,-0.06630198965963058,3.5637872486665287,0.9944655825068272,4.696999606538463,0.9673364174161773
2025-06-19,success,96,0.8044674993173532,1.056568685586635,6960,0.5460958226533825,0.9910229170486826,0.3903424729784033,0.993730879861461,0.29245838989759376,0.9974904056421378,0.9268422748574557,0.971795012337938,0.9993462595348259,0.9879049940775451,7.817628606782312,0.4326033284611317,3.6341053245387944,0.9961100257371377,4.856338221547556,0.9842950037578779
2025-06-20,success,96,0.8025879658851923,1.067642698047516,6825,0.5626541261770703,0.9903180108926048,0.41900367608356676,0.9919802684393558,0.3209290267614613,0.9972541526915523,1.0648500829848804,0.9607983228560127,1.2048833410610098,0.9830935659366172,6.418146473919794,-0.04128530597499319,3.753297227697373,0.996327851529905,3.7749080288245844,0.984314028832221
2025-06-21,success,96,0.7941605953284797,1.0654560360351515,9249,0.5928840055115234,0.9875958546823537,0.43780171811456237,0.9888864544167432,0.3446403254600412,0.9963756119418107,1.034735754704551,0.9537532363143197,1.2223570463915145,0.9887228099742461,4.939767484423898,0.2443646029310875,3.8784725368932764,0.9956905386708204,3.442116532370912,0.9795823263693121
2025-06-22,success,96,0.7731923487461152,1.011306529631746,9990,0.6298522566825986,0.9836165630715447,0.4528005799653851,0.98888008157659,0.41370036969602125,0.9943232738072556,0.4912976362040852,0.9969256856219733,0.9465593582491874,0.9914269040938073,7.084407735901051,0.8513599644866169,3.4230344812268303,0.9900278465340698,4.969007204767134,0.9739032291304881
2025-06-23,success,96,0.8138877354882827,1.0621003413623749,8046,0.43158704455509456,0.9770160790184462,0.3292401743309679,0.9848140312153056,0.30732164472614276,0.9910532868860584,0.2963742558893699,0.9799525456937551,0.6358830200090144,0.9962763773917276,11.2129878548274,0.8716693255548636,3.674332579744701,0.99552610284876,6.1893087221786,0.9096612790826524
2025-06-24,success,96,0.8104311363892258,1.0740903575758274,5745,0.5171124019675175,0.9863563636907664,0.40536593481069283,0.9933727887598732,0.3102876863324668,0.9971800419316674,0.7547330422514293,0.9573948495827255,1.1674663110647336,0.9836505113501798,13.344494650606192,0.6822553291262576,3.7113896006171694,0.9937279571792501,10.058750434326875,0.9942231283907513
2025-06-25,success,96,0.8074166520899065,1.0622576113970479,6048,0.4474723115430541,0.9909349349251537,0.34682503090655276,0.9932992769590264,0.283394421632949,0.9966352760141013,0.6790286859540653,0.9665187014238683,0.9211040188445789,0.9850458471678882,9.868883118988766,0.5216847572824078,3.7801541239322947,0.9929823790567439,5.797563748960973,0.9785648283849575
2025-06-26,success,96,0.8035360476361383,1.0664007915923404,7911,0.48671972259881136,0.9890482779825358,0.38138274402657546,0.9936596568414707,0.5712132946125388,0.9702995634276692,0.5628206074971067,0.9787944476510199,0.8489795972162644,0.9939572749507452,13.326040156552828,0.38706147131825114,4.929296533722928,0.9942627276679119,7.8512649790151725,0.9607385474813486
2025-06-27,success,96,0.7903005202501793,1.0750767657712297,9891,0.5376608188882566,0.989067340835164,0.4569190418179382,0.9917711825397041,0.2449528090520861,0.9936691594090596,1.078529886160021,0.9588850097842171,1.520284306507873,0.981341869912086,4.21681339967461,0.42830573916991255,5.996921630213285,0.9911923245736888,6.711809816787346,0.9682162341399878
2025-06-28,success,96,0.7904143211616949,1.0721579285347347,10008,0.5305737490588638,0.9901758077556729,0.47018137268454374,0.9906473944052738,0.2078414793385498,0.9981087407561551,0.9739444040081802,0.9529651220884814,1.4400400973671985,0.9867942226563309,2.7813186119733277,0.6527844117971382,4.777176153798851,0.9960388287483279,5.8435342469798135,0.9678588777500832
2025-06-29,success,96,0.7999994052125512,1.0626700199448018,10590,0.4876444031482085,0.9864560396437777,0.4262626202327339,0.9886525935606586,0.29948089263785055,0.9951347046546573,0.6594925132966035,0.9403447521385041,1.2025587651483747,0.976592712345478,3.7727284958319705,0.45904760176332715,3.8491649302809705,0.9934700194019531,3.9111174163944438,0.9616691795956103
2025-06-30,success,96,0.7945601511965064,1.071176407179121,8775,0.5326468595439794,0.9914971772118919,0.39973174625164803,0.9935908728907861,0.31407441607837544,0.9971550288986272,0.9675576299466917,0.9647891089626225,1.311327621242437,0.984504135089625,3.1576118371057698,0.5811594065891853,3.945349499910422,0.9952563510979772,3.490004841178965,0.9859808521484339
2025-07-01,success,96,0.788001055311774,1.0780944009578672,8106,0.4942213369940753,0.9850135953384078,0.39814819427461723,0.9883962940380738,0.3092491852206596,0.9948507646803214,0.5806745867586752,0.9781335024819198,1.1157503962381499,0.9840727682279973,6.104826486705075,-0.005731346509851626,3.7818569176264143,0.9947517065551691,2.8193440436366997,0.9781991747653839
2025-07-02,success,96,0.7882035779295387,1.0757633671409892,8538,0.5409545498994998,0.9848440153061575,0.4388393647660983,0.9893505505337719,0.38320318197482495,0.9898976007389872,0.8463049261968112,0.9570039130440089,1.2546414170788187,0.987366400338038,4.916459967624967,0.45991904275136064,3.8480967641219395,0.994078746350157,3.7609778911792007,0.9785632284785887
2025-07-03,success,96,0.7878530007967205,1.0580717354728084,6141,0.39804720653439024,0.9927530586670203,0.32372854715342986,0.996328119125921,0.26032135670327755,0.9986484213994371,0.9832735234241864,0.958671964082008,1.1909963853499952,0.9875237640535114,2.2528714751961996,0.6821357530350318,3.710890922230194,0.9954381578896534,3.808628266185015,0.9880175143073732
2025-07-04,success,96,0.7875014101928798,1.071438696422362,6261,0.44387622241242736,0.9914322910721838,0.3501481164149648,0.9961109697768693,0.2714838566911717,0.9984319272542944,1.0249751203732607,0.9624553425981686,1.3585191290705494,0.9867534718551716,3.422444402118863,0.4090757756666329,3.951604502011294,0.996015688926087,3.5634137057025868,0.9879121855239178
2025-07-05,success,96,0.7951716288560822,1.053741860289296,6639,0.45103383275897185,0.9907076542639693,0.3827790820219685,0.9944487842906048,0.28763639424145865,0.9985432853994896,1.0349123875334916,0.9612676305992481,1.299479764020573,0.9875782493924967,3.7707079061737847,0.6798894848150846,4.091248580446077,0.9921577713911823,3.68272141528241,0.984898002890657
2025-07-06,success,96,0.8085983205529417,1.0569175112752904,9303,0.581690099056012,0.9906425609842402,0.46402969212345235,0.9949879162246592,0.34141844547102984,0.996958108504409,1.0887213615690572,0.9617671976910825,1.2606228544110127,0.98264011309611,8.31927927396416,0.419651437981903,3.901278690785801,0.9958188244755023,6.126533630369643,0.9545215196456919
2025-07-07,success,96,0.7989539797251792,1.0731278751902096,4770,0.3991853850780085,0.9931504891901227,0.3425678293866754,0.9960659158106208,0.27892076176004776,0.99871376309324,0.9088507067076634,0.9634609656491923,1.2137514594201964,0.9905561456302124,9.207383395559315,0.7591290143055152,4.011516383695776,0.9957754751394099,5.892337489310771,0.9939072803125218
2025-07-08,success,96,0.7908756021257959,1.0690456165017583,6363,0.4018258692054198,0.9903844331829016,0.3532085773003866,0.9950806815572059,0.2749435064301297,0.9984169959867095,0.9406194490050122,0.9653339349951494,1.277704125927887,0.9868994874263918,3.8431395770707364,0.5175806553105924,4.392115202432921,0.9929618233924058,4.0520906511501815,0.9794383226442686
2025-07-09,success,96,0.7704602551159725,1.0656894724890542,7872,0.4035998404623163,0.9850362658802111,0.31429568072535186,0.9963876120890339,0.2535961422114031,0.998785707313285,0.9328449482946995,0.9629587737812124,1.0759569462338323,0.990947018057741,2.4935738089916546,0.7540979188250695,4.600771163055975,0.9942498703923596,4.392386846592329,0.9803407342930672
2025-07-10,success,96,0.7557911660934266,1.048542358833401,16875,0.686266266024527,0.9767043781177478,0.6792002220615645,0.9872559850376658,0.559348342107916,0.9913047668801785,0.9721328865123808,0.9696120297257214,1.478513730802668,0.9845878456020118,1.0395352016495616,0.8825034180649802,4.411596901652203,0.9919803869619034,7.649183493532065,0.9834413298503625
2025-07-11,success,96,0.7752420000354359,1.0119470219421973,15969,0.723401810230672,0.9792075780388165,0.7184159389935842,0.9918825373503519,0.5620580109229019,0.9953447426958378,1.0641730501187532,0.9619346115156739,1.3873710532254244,0.9916178162432092,1.8505616530554934,0.683649077572298,4.563981352372848,0.9953262357755919,6.295373110736221,0.989586046380159
2025-07-12,success,96,0.7759476966273887,1.0022223972968236,15549,0.7226984882373454,0.9735976187493935,0.7158902114803806,0.9913926600911972,0.5670085096654953,0.994981127798574,0.8990699963051693,0.9660475261471856,1.5490143341639304,0.9898815619587146,3.0922301857973173,0.6754370521838599,4.702506234089436,0.9939203998721919,5.285519500459365,0.9777977239870336
2025-07-13,success,96,0.7677768101456848,1.0034250920539485,13890,0.6472837499084332,0.9783454654756848,0.6619390331381827,0.9911240797707719,0.49070176863973525,0.9962094946719662,0.5934764620431737,0.9971411963675021,1.1870900806190605,0.991758230423603,3.905416037142264,0.6636425323763638,4.5404158511037975,0.989957273335424,3.768461954840852,0.972126196560813
2025-07-14,success,96,0.7948235705286679,1.062710099733166,10443,0.5872309765695708,0.9778244596145115,0.48372816281072556,0.9932756363407925,0.36775369702605115,0.9927955120269489,1.0259425661746766,0.96064087486003,1.328389737447507,0.9897164527540036,7.420131128665264,0.6631383458900698,4.727395291582329,0.9951056086312855,4.6789541214861154,0.9779474714231995
